Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Gardner Minshew II,28.0,QB,10,9,203,306,1828,6.0,914,4.5,3.0,1099,5.4,10,22,3,8,2.8,38,13.5,214,76.2,2.2,109,25,27,81,23.4,11,5.5,35,152,32,52,152,396,0,0,32,52,152,396,
2.0,Aidan O'Connell,26.0,QB,9,7,154,243,1915,7.9,881,5.7,3.6,731,4.7,5,9,1,6,2.6,49,21.0,166,71.2,2.4,50,27,19,56,21.9,3,8.7,20,183,19,46,174,305,1,9,19,46,174,305,
3.0,Desmond Ridder,25.0,QB,6,1,52,85,687,8.1,257,4.9,3.0,201,3.9,1,4,1,2,2.5,15,18.8,55,68.8,2.2,21,6,9,25,24.8,6,5.8,8,19,6,4,18,19,2,1,6,4,18,19,
4.0,AJ Cole III,29.0,P,17,0,1,1,4,4.0,4,4.0,4.0,30,30.0,0,0,0,0,0.0,0,0.0,1,100.0,1.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
,Team Totals,,,17,17,410,635,4434,7.0,2056,5.0,3.2,2061,5.0,16,35,5,16,2.7,102,17.1,436,73.3,2.0,180,58,55,162,23.0,20,6.1,63,354,57,102,344,720,3,10,57,102,344,720,
