Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Daniel Jones,27.0,QB,10,10,216,341,2443,7.2,1126,5.2,3.3,944,4.4,7,17,4,24,7.5,40,12.5,254,79.4,2.4,89,21,44,94,24.5,14,5.5,33,206,25,68,166,473,8,40,25,68,166,473,
2.0,Drew Lock,28.0,QB,8,5,107,181,1147,6.3,460,4.3,2.5,611,5.7,8,4,1,7,4.0,33,18.8,122,69.3,2.4,29,18,24,54,26.6,10,13.4,15,113,12,31,113,234,1,0,12,31,113,234,
3.0,Tommy DeVito,26.0,QB,3,2,31,44,263,6.0,138,4.5,3.1,119,3.8,0,3,0,1,2.4,6,14.6,35,85.4,2.3,11,2,4,12,22.2,4,7.8,8,34,4,5,28,24,1,6,4,5,28,24,
4.0,Tim Boyle,30.0,QB,1,0,12,24,139,5.8,60,5.0,2.5,63,5.3,1,2,0,1,4.5,4,18.2,13,59.1,2.0,8,8,4,13,52.0,0,,3,8,3,6,8,22,0,0,3,6,8,22,
5.0,Malik Nabers,21.0,WR,15,13,0,1,1,1.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,1,100.0,3.7,1,1,0,1,100.0,0,,1,0,1,0,0,0,0,0,1,0,0,0,"PB,AP ORoY-5"
,Team Totals,,,17,17,366,591,3993,6.8,1784,4.9,3.0,1737,4.7,16,26,5,33,5.9,84,15.0,425,75.9,2.6,138,50,76,174,26.1,28,8.6,60,361,45,110,315,753,10,46,45,110,315,753,
