Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Jayden Daniels,24.0,QB,17,17,331,480,3526,7.3,1788,5.4,3.7,1780,5.4,12,15,2,20,4.3,67,14.5,362,78.2,2.4,153,36,28,111,18.5,73,8.1,112,805,79,86,605,709,27,200,79,86,605,709,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
2.0,Marcus Mariota,31.0,QB,3,0,34,44,408,9.3,257,7.6,5.8,107,3.1,0,1,1,2,4.8,3,7.1,37,88.1,2.5,17,5,2,10,19.6,4,6.3,15,148,9,7,82,55,5,66,9,7,82,55,
3.0,Dyami Brown,25.0,WR,16,3,0,1,36,36.0,0,,0.0,0,,0,0,0,1,100.0,0,0.0,1,100.0,1.8,1,0,0,0,0.0,0,,1,0,1,0,0,0,0,0,1,0,0,0,
,Team Totals,,,17,17,365,525,3970,7.6,2045,5.6,3.9,1887,5.2,12,16,3,23,4.5,70,13.8,400,79.1,2.2,171,41,30,121,18.6,77,8.0,128,953,89,93,687,764,32,266,89,93,687,764,
