Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Jameis Winston,30.0,QB,12,7,181,296,2632,8.9,1356,7.5,4.6,765,4.2,11,4,1,13,4.5,52,17.9,205,70.4,2.4,61,23,24,71,21.6,8,5.8,25,193,20,51,163,610,4,30,20,51,163,610,
2.0,Deshaun Watson,29.0,QB,7,7,137,216,1523,7.1,564,4.1,2.6,584,4.3,5,5,0,20,9.5,34,16.1,166,78.7,2.6,72,16,37,86,31.9,21,6.3,32,123,20,48,110,252,4,13,20,48,110,252,
3.0,Dorian Thompson-Robinson,25.0,QB,7,2,61,118,716,6.1,189,3.1,1.6,251,4.1,1,10,0,11,10.2,19,17.6,78,72.2,2.2,24,7,18,33,25.0,6,6.5,32,166,23,11,82,36,7,84,23,11,82,36,
4.0,Bailey Zappe,25.0,QB,1,1,16,31,220,7.1,69,4.3,2.2,101,6.3,0,1,0,5,16.7,3,10.0,27,90.0,2.4,2,1,1,3,9.1,1,3.0,5,41,5,5,41,7,0,0,5,5,41,7,
,Team Totals,,,17,17,395,661,5091,7.7,2178,5.5,3.3,1701,4.3,17,20,1,49,7.7,108,16.9,476,74.4,2.4,159,47,80,193,25.3,36,6.1,94,523,68,115,396,905,15,127,68,115,396,905,
