Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,C.J. Stroud,23.0,QB,17,17,336,532,4376,8.2,2063,6.1,3.9,1664,5.0,8,22,1,26,5.1,95,18.7,373,73.3,2.5,154,66,56,174,28.0,37,6.8,42,330,38,123,322,1011,1,8,38,123,322,1011,
2.0,Davis Mills,26.0,QB,4,0,20,36,224,6.2,140,7.0,3.9,72,3.6,1,0,0,1,2.8,10,27.8,23,63.9,2.0,18,2,2,6,15.4,1,9.0,1,2,1,8,2,75,0,0,1,8,2,75,
3.0,Stefon Diggs,31.0,WR,8,8,1,1,-4,-4.0,-4,-4.0,-4.0,17,17.0,0,0,0,0,0.0,0,0.0,1,100.0,1.4,0,0,0,0,0.0,0,,2,9,1,1,13,13,1,-4,1,1,13,13,
4.0,Joe Mixon,28.0,RB,14,14,0,1,10,10.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,2.5,0,0,0,0,0.0,0,,11,37,1,0,0,0,10,37,1,0,0,0,PB
,Team Totals,,,17,17,357,570,4606,8.1,2199,6.2,3.9,1753,4.9,9,22,1,27,4.9,106,19.4,397,72.6,2.1,172,68,58,180,27.2,38,6.9,56,378,41,132,337,1099,12,41,41,132,337,1099,
