Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Geno Smith,34.0,QB,17,17,407,578,3942,6.8,2139,5.3,3.7,2181,5.4,14,20,2,20,3.6,58,10.4,455,81.8,2.4,138,36,57,143,21.9,24,10.7,64,339,58,82,331,510,2,8,58,82,331,510,
2.0,Sam Howell,24.0,QB,2,0,5,14,83,5.9,17,3.4,1.2,7,1.4,1,0,0,1,7.1,5,35.7,6,42.9,2.4,1,2,1,7,36.8,1,2.0,5,3,4,4,3,3,0,0,4,4,3,3,
3.0,Jaxon Smith-Njigba,22.0,WR,17,16,1,1,35,35.0,35,35.0,35.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,3.6,0,0,1,1,100.0,0,,1,35,1,0,35,0,0,0,1,0,35,0,PB
,Team Totals,,,17,17,413,593,4060,6.8,2191,5.3,3.7,2188,5.3,15,20,2,21,3.7,63,11.0,462,80.9,2.8,139,38,59,151,22.5,25,10.3,70,377,63,86,369,513,2,8,63,86,369,513,
