Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Jared Goff,30.0,QB,17,17,390,539,3390,6.3,1994,5.1,3.7,2635,6.8,4,24,3,11,2.1,69,13.5,412,80.5,2.3,143,34,57,122,20.9,14,4.9,14,94,12,203,91,2060,1,3,12,203,91,2060,"PB,AP MVP-5,AP OPoY-9"
2.0,Hendon Hooker,26.0,QB,3,0,6,9,58,6.4,32,5.3,3.6,30,5.0,0,0,0,1,11.1,1,11.1,7,77.8,2.2,1,2,0,3,27.3,1,2.0,0,0,0,5,0,51,0,0,0,5,0,51,
3.0,Jack Fox,28.0,P,17,0,1,1,15,15.0,15,15.0,15.0,2,2.0,0,0,0,0,0.0,0,0.0,1,100.0,1.1,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"PB,AP-1"
4.0,David Montgomery,27.0,RB,14,14,1,1,3,3.0,3,3.0,3.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,2.1,1,0,0,0,0.0,0,,8,43,0,1,0,3,8,43,0,1,0,3,
5.0,Amon-Ra St. Brown,25.0,WR,17,17,1,1,5,5.0,5,5.0,5.0,2,2.0,0,0,0,0,0.0,0,0.0,1,100.0,1.4,1,0,0,0,0.0,0,,1,7,1,0,7,0,0,0,1,0,7,0,"PB,AP-1,AP OPoY-11"
,Team Totals,,,17,17,399,551,3471,6.3,2049,5.1,3.7,2669,6.7,4,24,3,12,2.3,70,13.4,422,80.5,1.8,146,36,57,125,20.9,15,4.7,23,144,13,209,98,2114,9,46,13,209,98,2114,
