Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassAtt,PassYds,PassYds,RushAtt,RushYds,PassAtt,PassAtt,PassYds,PassYds,Awards
1.0,Caleb Williams,23.0,QB,17,17,351,562,4443,7.9,1675,4.8,3.0,1866,5.3,9,36,4,20,3.8,110,21.1,378,72.4,2.4,174,52,40,160,23.5,51,7.9,53,335,34,85,268,626,13,67,34,85,268,626,AP ORoY-10
2.0,Tyson Bagent,24.0,QB,4,0,2,2,1,0.5,1,0.5,0.5,10,5.0,0,0,0,0,0.0,0,0.0,2,100.0,1.6,0,0,0,0,0.0,0,,1,5,1,0,5,0,0,0,1,0,5,0,
3.0,Keenan Allen,32.0,WR,15,15,0,1,14,14.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,5.4,0,0,0,0,0.0,0,,0,0,0,1,0,0,0,0,0,1,0,0,
4.0,D.J. Moore,27.0,WR,17,17,0,1,33,33.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,0,0.0,3.2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
,Team Totals,,,17,17,353,566,4491,7.9,1676,4.7,3.0,1876,5.3,9,36,4,20,3.8,111,21.1,380,72.2,3.2,174,52,40,160,23.4,51,7.9,54,340,35,86,273,626,13,67,35,86,273,626,
