Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Drake Maye,22.0,QB,13,12,3-9-0,225,338,66.6,2276,15,4.4,10,3.0,112,46.0,40.0,6.7,6.29,10.1,175.1,88.1,58.6,34,229,9.14,5.5,5.1,0,0,"PB,AP ORoY-8"
2.0,Jacoby Brissett,32.0,QB,8,5,1-4-0,95,161,59.0,826,2,1.2,1,0.6,41,35.8,50.0,5.1,5.1,8.7,103.3,74.2,44.8,18,119,10.06,3.95,3.92,1,1,
3.0,Joe Milton,24.0,QB,1,0,,22,29,75.9,241,1,3.4,0,0.0,14,58.6,48.0,8.3,9.0,11.0,241.0,111.4,72.4,0,0,0.0,8.31,9.0,0,0,
4.0,Kendrick Bourne,29.0,WR,12,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.0,,0.0,39.6,4.2,0,0,0.0,0.0,0.0,0,0,
,Team Totals,,,17,17,4-13-0,342,529,64.7,2995,18,3.4,11,2.1,167,43.4,50.0,6.3,6.06,9.8,176.2,85.0,,52,348,8.95,5.15,4.92,1,1,
